assumption_path,value,unit,basis,source_id,note
capital_expenditure.marmato_growth_musd,2026: 235; 2027: 90; 2028: 30; 2029: 15; 2030: 10,USD_millions,analyst,6K_Q2_2026-MDA,"Marmato non-sustaining capital was $128.2m in FY2025 and $123.3m in H1 2026 as the Bulk Mining Zone and CIP plant are built. First gold is expected in Q4 2026, so the spend completes across 2026-2027 and then falls away."
capital_expenditure.segovia_growth_musd,2026: 45; 2027: 35; 2028: 25; 2029: 15; 2030: 10,USD_millions,analyst,6K_Q2_2026-MDA,"Segovia non-sustaining capital was $39.1m in FY2025 and $22.7m in H1 2026, covering underground development and plant debottlenecking after the second mill. Tapers as the mill reaches capacity."
corporate.share_based_compensation_musd,18.0,USD_millions_2026,analyst,SEC-XBRL,"FY2025 was $42.1m, but that reflects mark-to-market revaluation of PSUs and DSUs after a very strong share price rather than a run-rate grant cost. FY2024 was $5.3m and FY2023 $5.1m. $18m is a normalised run-rate. SBC is treated as a real economic cost and is NOT added back in FCFF."
gold_price.realized_price_deck,2026: 4490; 2027: 4000; 2028: 3700; 2029: 3450; 2030: 3300,USD_per_oz_nominal,analyst,YF-GOLD,"2026 blends the reported H1 realised price with H2 marked at spot. 2027-2029 fade toward a long-run real anchor of $3,300/oz (2030 dollars), which sits above the $2,800/oz used in Aris Mining's own Segovia reserve estimate and above the $2,200/oz used for Soto Norte reserves, so the deck is not more conservative than the company's own reserve basis. From 2030 the anchor is held flat in REAL terms and escalated at the FRED breakeven inflation rate."
growth_projects.soto_norte.aisc_per_oz,1400,USD_per_oz_2026,analyst,,
growth_projects.soto_norte.annual_production_oz,250000,troy_oz,analyst,,
growth_projects.soto_norte.first_production_year,2032,year,analyst,,
growth_projects.soto_norte.initial_capital_musd,1200,USD_millions,analyst,,
growth_projects.soto_norte.probability_of_development,0.4,fraction,analyst,,"Not yet permitted and no construction decision has been taken. Soto Norte sits in a historically contentious permitting jurisdiction in Santander, Colombia, and an updated ESIA is still in progress."
growth_projects.toroparu.aisc_per_oz,1500,USD_per_oz_2026,analyst,,
growth_projects.toroparu.annual_production_oz,200000,troy_oz,analyst,,
growth_projects.toroparu.first_production_year,2031,year,analyst,,
growth_projects.toroparu.initial_capital_musd,1000,USD_millions,analyst,,
